pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
96.9,-43.24,0.0,top,A1,,,Arduino_Nano,Arduino_Nano_ESP32,tht
119.51,-78.2175,180.0,top,BAT,,,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,BATTERY,tht
119.055,-56.88,0.0,top,C1,,,C_0603_1608Metric,2.2uF,smt
115.895,-56.88,180.0,top,C2,,,C_0603_1608Metric,2.2uF,smt
115.435,-64.07,0.0,top,C3,,,C_0603_1608Metric,10nF,smt
121.58,-62.475,90.0,top,C4,,,C_0603_1608Metric,0.1uF,smt
118.72,-66.84,0.0,top,C5,,,C_0603_1608Metric,2.2uF,smt
118.535,-64.06,0.0,top,C6,,,C_0603_1608Metric,0.1uF,smt
121.57,-59.335,-90.0,top,C7,,,C_0603_1608Metric,2.2nF,smt
115.455,-66.84,0.0,top,R1,,,R_0603_1608Metric,R,smt
118.25,-71.37,180.0,top,RESET,,,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,RESET,smt
117.52,-60.52,0.0,top,U1,,,InvenSense_QFN-24_4x4mm_P0.5mm,MPU-6050,smt
